服务端,实体名,实体参数,参数类型
admin,linepromotion,"['line_promotion_id', 'car_id', 'string', 'sex', 'wash_area_id', 'parking_id', 'car_status', 'wash_status', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'int', 'int', 'string', 'string', 'int', 'int', 'float', 'float', 'string', 'boolean', 'float']"
admin,linepromotionrecord,"['lpr_id', 'line_promotion_id', 'car_id', 'username', 'user_tag', 'description', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'string', 'string', 'float', 'float', 'string', 'boolean', 'float']"
admin,luckyflop,"['lucky_flop_id', 'rule_name', 'button_name', 'rule_no', 'flop_day', 'flop_week', 'price_min', 'price_status', 'price_set', 'flop_set', 'enabled', 'created_time', 'updated_time', 'remark']","['string', 'string', 'string', 'string', 'int', 'int', 'int', 'int', 'List', 'List', 'boolean', 'double', 'double', 'string']"
admin,luckyflopuser,"['lucky_flop_user_id', 'user_id', 'lucky_flop_id', 'created_time', 'updated_time', 'remark']","['string', 'string', 'string', 'double', 'double', 'string']"
admin,luckyflopdefault,"['lucky_flop_default_id', 'lucky_flop_id', 'enabled', 'created_time', 'updated_time', 'remark']","['string', 'string', 'boolean', 'double', 'double', 'string']"
admin,luckyflopaward,"['lucky_flop_award_id', 'user_id', 'parking_id', 'parking_name', 'lucky_flop_id', 'rule_no', 'flop_num', 'award_time', 'flop_price', 'lucky_award_type', 'custom_price', 'fail_price', 'status', 'order_id', 'order_no', 'order_by', 'created_time', 'updated_time', 'remark']","['string', 'string', 'string', 'string', 'string', 'string', 'int', 'double', 'int', 'int', 'int', 'int', 'int', 'string', 'string', 'string', 'double', 'double', 'string']"
admin,areacalendar,"['area_calendar_id', 'wash_area_id', 'calendar', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'float', 'float', 'float', 'string', 'bool', 'float']"
admin,carwasherwage,"['car_washer_wage_id', 'username', 'name', 'wash_record_num', 'avg_score', 'recommend_num', 'first_order_num', 'register_num', 'price_by_month', 'inspection_num', 'inspection_avg_score', 'comment_num', 'comment_avg_score', 'sick_leave_num', 'compassionate_leave_num', 'absenteeism_num', 'start_time', 'end_time', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'int', 'float', 'int', 'int', 'int', 'float', 'int', 'float', 'int', 'float', 'int', 'int', 'int', 'float', 'float', 'float', 'float', 'string', 'boolean', 'float']"
admin,matter,"['matter_id', 'car_washer', '-username', '-name', 'matter_type', 'start_time', 'end_time', 'duration', 'reason', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'json', 'string', 'string', 'int', 'float', 'float', 'int', 'string', 'float', 'float', 'string', 'bool', 'float']"
admin,inspection,"['inspection_id', 'car_washer', '-username', '-name', 'wash_record_id', 'order_no', 'inspection_time', 'score', 'inspector', 'images', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'json', 'string', 'string', 'string', 'string', 'float', 'float', 'string', 'array', 'float', 'float', 'string', 'bool', 'float']"
admin,carbrand,"['car_brand_id', 'brand_id', 'car_brand_name', 'car_brand_logo', 'order_by', 'popular_brand', 'tag', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'int', 'string', 'string', 'int', 'int', 'string', 'float', 'float', 'string', 'boolean', 'float']"
admin,shortmessage,"['sm_id', 'smt_id', 'name', 'type', 'all_num', 'num', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'int', 'int', 'float', 'float', 'string', 'bool', 'float']"
admin,shortmessagerecord,"['smr_id', 'sm_id', 'user_id', 'status', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'int', 'float', 'float', 'string', 'bool', 'float']"
admin,shortmessagetemplate,"['smt_id', 'name', 'content', 'type', 'enabled', 'examine', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'int', 'bool', 'bool', 'float', 'float', 'string', 'bool', 'float']"
admin,adminlog,"['admin_log_id', 'user', 'user_id', 'business_type', 'operate', 'content', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'int', 'string', 'float', 'float', 'string', 'bool', 'float']"
admin,carbrandstatistic,"['car_brand_statistic_id', 'car_brand_name', 'num', 'percentage', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'int', 'int', 'float', 'float', 'string', 'boolean', 'float']"
admin,carwasherability,"['car_washer_ability_id', 'ability_value', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'int', 'float', 'float', 'string', 'bool', 'float']"
