服务端,实体名,实体参数,参数类型
app,linepromotion,"['line_promotion_id', 'car_id', 'age', 'sex', 'wash_area_id', 'parking_id', 'car_status', 'wash_status', 'user_tag', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'int', 'string', 'string', 'int', 'int', 'array', 'float', 'float', 'string', 'boolean', 'float']"
app,linepromotionrecord,"['lpr_id', 'line_promotion_id', 'line_promotion', 'parking_name', 'car_id', 'car_washer', 'user_tag', 'description', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'List<LinePromotion>', 'string', 'string', 'string', 'string', 'string', 'float', 'float', 'string', 'boolean', 'float']"
app,carseries,"['car_series_id', 'car_brand', 'car_brand_id', 'car_model', 'car_model_id', 'car_series_name', 'car_scale', 'contractor', 'is_active', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time', 'car_brand_info', '-car_brand_name', '-car_brand_info']","['string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'boolean', 'float', 'float', 'string', 'boolean', 'float', 'json', 'string', 'string']"
app,carbrand,"['car_brand_id', 'brand_id', 'car_brand_name', 'car_brand_logo', 'order_by', 'popular_brand', 'tag', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'int', 'string', 'string', 'int', 'int', 'string', 'float', 'float', 'string', 'boolean', 'float']"
app,carwasherwage,"['car_washer_wage_id', 'username', 'name', 'wash_record_num', 'avg_score', 'follow_num', 'first_order_num', 'register_num', 'price_by_month', 'inspection_num', 'inspection_avg_score', 'comment_num', 'comment_avg_score', 'sick_leave_num', 'compassionate_leave_num', 'absenteeism_num', 'start_time', 'end_time', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'int', 'float', 'int', 'int', 'int', 'float', 'int', 'float', 'int', 'float', 'int', 'int', 'int', 'float', 'float', 'float', 'float', 'string', 'boolean', 'float']"
app,callrecord,"['call_record_id', 'call_id', 'sub_id', 'pool_key', 'phone_no', 'secret_no', 'peer_no', 'called_display_no', 'call_type', 'call_time', 'start_time', 'ring_time', 'free_ring_time', 'release_time', 'sms_number', 'release_dir', 'release_cause', 'created_time', 'updated_time', 'comments', 'is_deleted', 'deleted_time']","['string', 'double', 'boolean', 'double', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string']"
app,carwasherorderstatistic,"['car_washer_order_statistic_id', 'username', 'name', 'mobile', 'wash_record_num', 'wash_record_num_by_month', 'price_by_month', 'time_point', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'int', 'int', 'int', 'float', 'float', 'float', 'string', 'boolean', 'float']"
app,carwasher,"['username', 'name', 'mobile', 'sex', 'birthday', 'ID_card', 'address', 'promoter_no', 'password', 'is_active']","['string', 'string', 'string', 'int', 'string', 'string', 'string', 'string', 'string', 'boolean']"
app,parkingroll,"['parking_coupon_id', 'parking_coupon_no', 'car_id', 'order_no', 'car_washer', 'parking_id', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'string', 'string', 'float', 'float', 'string', 'boolean', 'float']"
app,washrecord,"['wash_record_id', 'order_id', 'wash_group', 'wash_normal', 'wash_area', '-wash_area_id', '-name', 'user_id', 'car_id', 'mobile', 'name', 'price', 'real_price', 'discount_money', 'status', 'submit_time', 'start_time', 'end_time', 'wash_seconds', 'car_washer', 'before_wash_images', 'after_wash_images', 'wash_tags', 'description', 'group_identity', 'created_time', 'updated_time', 'remark', 'close_description', 'close_time', 'order_status', 'service_group', 'dirty_percent', 'after_sale', 'order_type', 'parking', '-parking_id', '-parking_name', 'possible_phase', 'possible_floor', 'possible_zone', 'possible_space_no', 'wxmp_remark', 'lon', 'lat', 'comment_status', 'admin_remark', 'car_type', 'is_deleted', 'washer_remark', 'mark', 'user_info', '-wx_nickname', '-wx_avatarurl', 'car_place', 'user_car_id', 'commission_prince', 'price_info', 'car_info', 'refund_reason', 'standard_time', 'ability', 'position', 'serve_time', 'wxmp_remark_time', 'admin_remark_time']","['string', 'string', 'object', 'object', 'json', 'string', 'string', 'string', 'string', 'string', 'string', 'int', 'int', 'int', 'string', 'string', 'string', 'string', 'int', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'double', 'string', 'array', 'int', 'int', 'int', 'json', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'int', 'string', 'string', 'boolean', 'array', 'int', 'json', 'string', 'string', 'json', 'string', 'int', 'json', 'json', 'string', 'int', 'float', 'json', 'float', 'float', 'float']"
