admin  ||  wechat_menu  ||  获取自定义菜单  ||  GET  ||    /admin/wechat_menus  ||    ||    ||    ||  ['200', '403', '404']  ||    ||  
admin  ||  wechat_menu  ||  编辑自定义菜单  ||  POST  ||    /admin/wechat_menus  ||  ['button']  ||  ['json']  ||  ['T']  ||  ['201', '403', '422']  ||    ||  
admin  ||  wechat_keyword  ||  微信图片上传  ||  POST  ||   admin/wechat_keyword/import  ||    ||    ||    ||  ['403', '200']  ||    ||  
admin  ||  wechat_keyword  ||  添加--公众号关键字回复  ||  POST  ||   /admin/wechat_keywords  ||  ['name', 'keyword', 'reply_type', 'content']  ||  ['string', 'array', 'string', 'json']  ||  ['T', 'T', 'T', 'T']  ||  ['201', '403', '422']  ||    ||  
admin  ||  wechat_keyword  ||  修改--公众号关键字回复  ||  PUT  ||   /admin/wechat_keywords/:wechat_keyword_id  ||  ['name', 'keyword', 'reply_type', 'content']  ||  ['string', 'array', 'string', 'json']  ||  ['T', 'T', 'T', 'T']  ||  ['204', '404', '403', '422']  ||    ||  
admin  ||  wechat_keyword  ||  查询--公众号关键字回复  ||  GET  ||   /admin/wechat_keywords  ||    ||    ||    ||  ['200', '403', '404']  ||  WechatKeyword  ||  
admin  ||  wechat_keyword  ||  添删除--公众号关键字回复  ||  DELETE  ||   /admin/wechat_keywords/:wechat_keyword_id  ||    ||    ||    ||  ['204', '404', '403']  ||    ||  
admin  ||  wechat_keyword  ||  修改查询[1条]--公众号关键字回复  ||  GET  ||   /admin/wechat_keywords/:wechat_keyword_id  ||    ||    ||    ||  ['200', '403', '404']  ||  WechatKeyword  ||  
admin  ||  wechat_reply  ||  添加--公众号关注/自定义回复  ||  POST  ||   /admin/wechat_replys  ||  ['category', 'reply_type', 'content']  ||  ['int', 'string', 'json']  ||  ['T', 'T', 'T']  ||  ['201', '403', '422']  ||    ||  
admin  ||  wechat_reply  ||  修改--公众号关注/自定义回复  ||  PUT  ||   /admin/wechat_replys/:wechat_reply_id  ||  ['category', 'reply_type', 'content']  ||  ['int', 'string', 'json']  ||  ['T', 'T', 'T']  ||  ['204', '403', '422']  ||    ||  
admin  ||  wechat_reply  ||  查询--公众号关注/自定义回复  ||  GET  ||   /admin/wechat_replys  ||    ||    ||    ||  ['200', '403', '404']  ||  WechatReply  ||  
admin  ||  wechat_reply  ||  添删除--公众号关注/自定义回复  ||  DELETE  ||   /admin/wechat_replys/:wechat_reply_id  ||    ||    ||    ||  ['204', '404', '403']  ||    ||  
admin  ||  wash_normal  ||  改人数  ||  PATCH  ||   /admin/wash_normal/:wash_normal_id  ||  ['spec_people_day_num']  ||  ['int']  ||  ['T']  ||  ['204', '403', '404', '422']  ||    ||  
admin  ||  wash_normal  ||  编辑单买  ||  PUT  ||   /admin/wash_normals/:wash_normal_id  ||  ['start_time', 'end_time', 'is_diff_car_type', 'people_day_num', 'expect_time', 'expect_day', 'expect_type', 'expect_hour', 'car_washer_ids', 'service_groups', 'day_in_week', 'spec_people_day_num', 'time_loop_set']  ||  ['int', 'int', 'boolean', 'int', 'int', 'int', 'int', 'int', '<CarWasher>', 'array', 'array', 'int', 'int']  ||  ['T', 'T', 'T', 'T', 'F', 'F', 'T', 'F', 'T', 'T', 'T', 'F', 'T']  ||  ['204', '404', '422', '403']  ||    ||  
admin  ||  wash_normal  ||  查询单个单买  ||  GET  ||   /admin/wash_normals/:wash_normal_id  ||    ||    ||    ||  ['404', '403', '200']  ||  WashNormal  ||  
admin  ||  wash_normal  ||  查询单买列表  ||  GET  ||   /admin/wash_normals  ||  ['page_num', 'page_size']  ||  ['int', 'int']  ||  ['F', 'F']  ||  ['403', '200', '422']  ||  WashNormal  ||  
admin  ||  wash_normal  ||  编辑单买  ||  PUT  ||   /admin/wash_normals/:wash_normal_id  ||  ['start_time', 'end_time', 'is_diff_car_type', 'people_day_num', 'expect_time', 'expect_day', 'expect_type', 'expect_hour', 'car_washer_ids', 'service_groups']  ||  ['int', 'int', 'boolean', 'int', 'int', 'int', 'int', 'int', '<CarWasher>', 'array']  ||  ['T', 'T', 'T', 'T', 'F', 'F', 'T', 'F', 'T', 'T']  ||  ['204', '404', '422', '403']  ||    ||  
admin  ||  wash_able_group  ||  更新用户建团  ||  PUT  ||   /admin/wash_able_groups/:wash_able_group_id  ||  ['name', 'group_time_range', 'expect_time', 'expect_day', 'is_diff_car_type', 'people_num', 'people_day_num', 'service_groups', 'status', 'start_time', 'end_time', 'day_in_week', 'car_washers', 'spec_people_day_num', 'time_loop_set', 'auto_group']  ||  ['String', 'int', 'float', 'int', 'bool', 'int', 'int', 'array', 'int', 'float', 'float', 'array', 'array', 'int', 'int', 'bool']  ||  ['T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'F', 'T', 'F']  ||  ['204', '422', '403', '404']  ||    ||  
admin  ||  wash_able_group  ||  用户建团列表  ||  GET  ||   /admin/wash_able_groups  ||  ['page_num', 'page_size']  ||  ['int', 'int']  ||  ['F', 'F']  ||  ['403', '200']  ||  AutoWashGroup  ||  
admin  ||  wash_able_group  ||  查询用户建团  ||  GET  ||   /admin/wash_able_groups/:wash_auto_group_id  ||    ||    ||    ||  ['404', '403', '200']  ||  AutoWashGroup  ||  
admin  ||  wash_able_group  ||  改人数  ||  PATCH  ||   /admin/wash_able_groups/:wash_able_group_id  ||  ['spec_people_day_num']  ||  ['int']  ||  ['T']  ||  ['204', '403', '404', '422']  ||    ||  
admin  ||  card  ||  创建会员卡  ||  POST  ||   /admin/cards  ||  ['card_name', 'days', 'grant_way', 'price', 'first_price', 'recharge_price', 'first_recharge_price', 'auto_recharge', 'coupons', 'card_remark']  ||  ['string', 'int', 'int', 'int', 'int', 'int', 'int', 'bool', 'json', 'string']  ||  ['T', 'T', 'T', 'T', 'T', 'T', 'T', 'F', 'F', 'T']  ||  ['201', '422', '403']  ||    ||  
admin  ||  card  ||  修改会员卡  ||  PUT  ||   /admin/cards/:card_id  ||  ['card_name', 'days', 'grant_way', 'price', 'first_price', 'recharge_price', 'first_recharge_price', 'auto_recharge', 'coupons', 'card_remark']  ||  ['string', 'int', 'int', 'int', 'int', 'int', 'int', 'bool', 'json', 'string']  ||  ['T', 'T', 'T', 'T', 'T', 'T', 'T', 'F', 'F', 'T']  ||  ['204', '403', '422']  ||    ||  
admin  ||  card  ||  查询会员卡  ||  GET  ||   /admin/cards  ||  ['card_id', 'page_num', 'page_size']  ||  ['int', 'int', 'int']  ||  ['F', 'F', 'F']  ||  ['200', '403', '422']  ||  Card  ||  
admin  ||  card  ||  删除会员卡  ||  DELETE  ||   /admin/cards/:card_id  ||    ||    ||    ||  ['204', '404', '403']  ||    ||  
admin  ||  card_sale  ||  创建可购买会员卡  ||  POST  ||   /admin/card_sales  ||  ['card_id', 'enabled', 'order_by']  ||  ['string', 'bool', 'int']  ||  ['T', 'T', 'T']  ||  ['201', '422', '403']  ||    ||  
admin  ||  card_sale  ||  修改可购买会员卡  ||  PUT  ||   /admin/card_sales/:card_sale_id  ||  ['card_id', 'enabled', 'order_by']  ||  ['string', 'bool', 'int']  ||  ['T', 'T', 'T']  ||  ['204', '403', '422']  ||    ||  
admin  ||  card_sale  ||  查询可购买会员卡  ||  GET  ||   /admin/card_sales  ||    ||    ||    ||  ['200', '403', '422']  ||  CardSale  ||  
admin  ||  card_sale  ||  删除可购买会员卡  ||  DELETE  ||   /admin/card_sales/:card_sale_id  ||    ||    ||    ||  ['204', '404', '403']  ||    ||  
admin  ||  card_record  ||  会员购卡记录  ||  GET  ||   /admin/card_records  ||  ['user_id', 'mobile', 'mode', 'created_section', 'page_num', 'page_size']  ||  ['string', 'string', 'int', 'string', 'int', 'int']  ||  ['F', 'F', 'F', 'F', 'F', 'F']  ||  ['200', '403', '422']  ||  CardRecord  ||  
admin  ||  card_record  ||  删除记录  ||  DELETE  ||   /admin/card_records/:card_record_id  ||    ||    ||    ||  ['204', '404', '403']  ||    ||  
admin  ||  membership_statistic  ||  会员趋势统计  ||  GET  ||   /admin/membership_statistic  ||  ['order_by', 'section', 'page_num', 'page_size']  ||  ['string', 'string', 'int', 'int']  ||  ['F', 'F', 'F', 'F']  ||  ['403', '200', '422']  ||  MembershipStatistic  ||  
admin  ||  promoter_statistic  ||  推广二维码统计列表  ||  GET  ||   /admin/promoter_statistics  ||  ['promoter_no', 'name', 'mobile', 'section', 'order_by', 'page_num', 'page_size']  ||  ['string', 'string', 'string', 'float', 'string', 'int', 'int']  ||  ['F', 'F', 'F', 'F', 'F', 'F', 'F']  ||  ['403', '200', '422']  ||  PromoterStatistic  ||  
admin  ||  promoter_statistic  ||  隐藏  ||  PATCH  ||   /admin/promoter_statistics/:promoter_statistic_id/visible  ||  ['visible']  ||  ['boolean']  ||  ['T']  ||  ['404', '403', '204', '422']  ||    ||  
