服务端,实体名,实体参数,参数类型
server,user,"['username', 'password', 'updated_time', 'created_time']","['string', 'string', 'float', 'float']"
server,project,"['project_id', 'project_name', 'province', 'city', 'district', 'address', 'region_id', 'leader', 'mobile', 'upload_platforms', 'is_deleted', 'updated_time', 'created_time']","['string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'bool', 'float', 'float']"
server,camera,"['camera_id', 'project', 'identify_ip', 'identify_port', 'address', 'road_name', 'work_time', 'upload_cycle', 'work_status', 'network_status', 'camera_num', 'camera_brand', 'camera_model', 'power_type', 'spot_nums', 'reg_code', 'coordinate', 'draw_status', 'context', 'camera_warnings', 'created_user', 'updated_user', 'dot_id', 'lon', 'lat', 'created_time', 'updated_time']","['string', 'object', 'string', 'string', 'string', 'string', 'string', 'integer', 'integer', 'integer', 'integer', 'object', 'object', 'integer', 'string', 'string', 'string', 'interger', 'array', 'array', 'object', 'object', 'string', 'string', 'string', 'float', 'float']"
server,cameramodel,"['camera_model_id', 'camera_brand', 'model_name', 'updated_time', 'created_time']","['string', 'object', 'string', 'float', 'float']"
server,camerabrand,"['camera_brand_id', 'project', 'brand_name', 'brand_short', 'updated_time', 'created_time']","['string', 'object', 'string', 'string', 'float', 'float']"
server,uploadimage,"['image_id', 'camera', 'image_url', 'updated_time', 'created_time']","['string', 'object', 'string', 'float', 'float']"
server,spot,"['spot_id', 'camera', 'spot_num', 'draw_status', 'draw_coordinate', 'carport_warnings', 'updated_time', 'created_time']","['string', 'object', 'string', 'integer', 'string', 'array', 'float', 'float']"
server,identifyrecord,"['identify_record_id', 'identify_result_id', 'vehicle_id', 'spot_num', 'status', 'image_url', 'identify_time', 'vehicle_type', 'created_time', 'updated_time']","['string', 'string', 'string', 'string', 'integer', 'string', 'float', 'string', 'float', 'float']"
server,parkingrecord,"['parking_record_id', 'vehicle_id', 'car_id', 'spot', 'entry_time', 'exit_time', 'stop_time', 'reg_code', 'vehicle_type', 'created_time', 'updated_time']","['string', 'string', 'string', 'object', 'float', 'float', 'float', 'string', 'string', 'float', 'float']"
server,spotrecordbyday,"['spot_record_id', 'spot', 'project', 'reg_code', 'stop_num', 'stop_time', 'time_point', 'created_time', 'updated_time']","['string', 'object', 'object', 'string', 'integer', 'float', 'float', 'float', 'float']"
