服务端,实体名,实体参数,参数类型
wxmp,voucher,"['voucher_id', 'voucher_pool_id', 'voucher_sub_order_id', 'order_no', 'name', 'denomination', 'user_id', 'mobile', 'car_id', 'status', 'deadline', 'used_time', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'string', 'int', 'string', 'string', 'string', 'int', 'Float', 'Float', 'Float', 'Float', 'string', 'Boolean', 'Float']"
wxmp,voucherorder,"['voucher_order_id', 'voucher_order_no', 'price', 'user_id', 'mobile', 'bought_time', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'int', 'string', 'string', 'Float', 'Float', 'Float', 'string', 'Boolean', 'Float']"
wxmp,vouchersuborder,"['voucher_sub_order_id', 'voucher_order_id', 'voucher_order_no', 'voucher_pool_id', 'user_id', 'mobile', 'name', 'unit_price', 'real_price', 'denomination', 'days', 'buy_num', 'give_num', 'pay_time', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'string', 'string', 'string', 'int', 'int', 'int', 'int', 'int', 'int', 'Float', 'Float', 'Float', 'string', 'Boolean', 'Float']"
wxmp,voucherpool,"['voucher_pool_id', 'name', 'price', 'denomination', 'num', 'num_status', 'sell', 'days', 'description', 'buy_num', 'give_num', 'service_groups', 'service_types', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'int', 'int', 'int', 'Boolean', 'int', 'int', 'string', 'int', 'int', 'array', 'string', 'Float', 'Float', 'string', 'Boolean', 'Float']"
wxmp,shopbanner,"['shop_banner_id', 'banner', 'shop_introduce', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'float', 'float', 'string', 'boolean', 'float']"
wxmp,invitationbanner,"['invitation_banner_id', 'entrance_banner', 'interface_poster', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'float', 'float', 'string', 'bool', 'float']"
wxmp,luckyflop,"['lucky_flop_id', 'rule_name', 'button_name', 'rule_no', 'flop_day', 'flop_week', 'price_min', 'price_status', 'price_set', 'enabled', 'created_time', 'updated_time', 'remark']","['string', 'string', 'string', 'string', 'int', 'int', 'int', 'int', 'List', 'boolean', 'double', 'double', 'string']"
wxmp,luckyflopuser,"['lucky_flop_user_id', 'user_id', 'lucky_flop_id', 'created_time', 'updated_time', 'remark']","['string', 'string', 'string', 'double', 'double', 'string']"
wxmp,luckyflopdefault,"['lucky_flop_default_id', 'lucky_flop_id', 'enabled', 'created_time', 'updated_time', 'remark']","['string', 'string', 'boolean', 'double', 'double', 'string']"
wxmp,luckyflopaward,"['lucky_flop_award_id', 'user_id', 'parking_id', 'parking_name', 'lucky_flop_id', 'rule_no', 'flop_num', 'award_time', 'flop_price', 'custom_price', 'fail_price', 'status', 'order_id', 'order_no', 'created_time', 'updated_time', 'remark']","['string', 'string', 'string', 'string', 'string', 'string', 'int', 'double', 'int', 'int', 'int', 'int', 'string', 'string', 'double', 'double', 'string']"
wxmp,cardorder,"['card_order_id', 'card_id', 'user_id', 'price', 'paid_way', 'days', 'end_time', 'status', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'int', 'string', 'int', 'float', 'int', 'float', 'float', 'string', 'bool', 'float']"
wxmp,membership,"['membership_id', 'card_no', 'card_name', 'user_id', 'start_time', 'end_time', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'float', 'float', 'float', 'float', 'string', 'bool', 'float']"
wxmp,cardsale,"['card_sale_id', 'card_id', 'enabled', 'order_by', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'boolean', 'int', 'float', 'float', 'string', 'boolean', 'float']"
wxmp,carbrand,"['car_brand_id', 'brand_id', 'car_brand_name', 'car_brand_logo', 'order_by', 'popular_brand', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'int', 'string', 'string', 'int', 'int', 'float', 'float', 'string', 'boolean', 'float']"
wxmp,carseries,"['car_series_id', 'series_id', 'car_brand', 'brand_id', 'car_model', 'car_model_id', 'car_series_name', 'car_scale', 'service_support', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'int', 'string', 'string', 'string', 'string', 'string', 'string', 'boolean', 'float', 'float', 'string', 'boolean', 'float']"
wxmp,couponcoderecord,"['coupon_code_record_id', 'coupon_code_name', 'coupon_money', 'created_number', 'granted_number', 'coupon_pool_id', 'coupon_code_remark', 'is_new_user', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'int', 'int', 'int', 'string', 'string', 'boolean', 'float', 'float', 'string', 'boolean', 'float']"
wxmp,couponcode,"['coupon_code_id', 'coupon_code_record_id', 'coupon_code_no', 'coupon_money', 'user_id', 'mobile', 'status', 'is_new_user', 'car_id', 'receive_time', 'used_time', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'int', 'string', 'string', 'int', 'boolean', 'string', 'float', 'float', 'float', 'float', 'string', 'boolean', 'float']"
wxmp,servicegroup,"['service_group_id', 'service_group_name', 'cost_price', 'service_original_price', 'wash_normal_price', 'wash_group_price', 'membership_price', 'commission_price', 'wash_normal_percent', 'wash_group_percent', 'membership_percent', 'service_group_price', 'pricing_strategy', 'services', 'intelligent_services', 'description', 'order_by', 'status', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', '<Service>', '<intelligent_service>', 'string', 'int', 'int', 'Float', 'Float', 'string', 'boolean', 'Float']"
wxmp,service,"['service_id', 'service_name']","['String', 'String']"
wxmp,intelligentservice,"['intelligent_service_id', 'name']","['String', 'String']"
