问题类型,服务端,模块名,接口名,请求方式,问题,预期
已知缺陷,admin,line_promotion,查询地推记录,GET,缺少 404,"['200', '403', '404']"
已知缺陷,admin,lucky_flop,翻牌启用/关闭,PATCH,缺少 422,"['403', '404', '204', '422']"
已知缺陷,admin,lucky_flop,用户翻牌规则,POST,缺少 422,"['403', '200', '422']"
已知缺陷,admin,lucky_flop,新用户翻牌启用/关闭,PATCH,缺少 422,"['403', '404', '204', '422']"
已知缺陷,admin,lucky_flop,新用户翻牌启用/关闭,PATCH,"文档不该含有 404,应移除","['403', '204', '422']"
已知缺陷,admin,car_brand,品牌列表,GET,"文档不该含有 404,应移除","['403', '200']"
已知缺陷,admin,short_message,查询短信通知记录,GET,缺少 404,"['200', '403', '422', '404']"
已知缺陷,admin,car_washer_ability,获取虾客能力值,GET,"文档不该含有 404,应移除","['403', '200']"
建议修改,admin,wechat_keyword,修改--公众号关键字回复,PUT,"文档含有过多 404,应移除","['204', '404', '403', '422']"
已知缺陷,admin,card_sale,查询可购买会员卡,GET,"文档不该含有 422,应移除","['200', '403']"
已知缺陷,admin,admin_user,获取信息,GET,"文档不该含有 404,应移除","['403', '200']"
已知缺陷,admin,admin_user,获取验证码,GET,缺少 422,"['200', '422']"
已知缺陷,admin,car_washer,虾客接单记录,GET,缺少 404,"['403', '200', '404']"
已知缺陷,admin,car_washer,虾客接单记录,GET,缺少 422,"['403', '200', '404', '422']"
已知缺陷,admin,car_washer,虾客接单数量,GET,缺少 404,"['403', '200', '422', '404']"
已知缺陷,admin,car_washer,虾客推荐记录,GET,缺少 404,"['403', '200', '422', '404']"
建议修改,admin,wash_area,服务区域_查询,GET,"应该返回 200, 但 未识别到2xx的返回 ,请判断是否为文档及代码错误","['404', '403']"
建议修改,admin,service,删除服务,DELETE,"应该返回 204, 但 未识别到2xx的返回 ,请判断是否为文档及代码错误","['404', '403']"
建议修改,admin,wash_auto_group,更新自动建团,PUT,"应该返回 204, 但返回 201,请判断是否为文档及代码错误","['201', '422', '403', '404']"
已知缺陷,app,line_promotion,查询地推,GET,缺少 422,"['200', '403', '422']"
已知缺陷,app,line_promotion,查询洗车,GET,缺少 422,"['200', '403', '422']"
已知缺陷,app,car_washer,获取虾客二维码,GET,"文档不该含有 422,应移除","['403', '200']"
已知缺陷,app,car_washer,获取虾克拉新统计,GET,"文档不该含有 422,应移除",['200']
已知缺陷,app,wash_record,获取单个洗车记录,GET,"文档不该含有 422,应移除","['403', '404', '200']"
建议修改,app,wash_record,修改单个洗车记录状态,PATCH,"应该返回 204, 但返回 200,请判断是否为文档及代码错误","['403', '404', '200', '422']"
已知缺陷,wxmp,lucky_flop,我的翻牌资格,GET,缺少 422,"['403', '200', '422']"
已知缺陷,wxmp,lucky_flop,我的翻牌资格,GET,缺少 422,"['403', '200', '422']"
已知缺陷,wxmp,card_sale,可购买的会员卡列表,GET,缺少 422,"['403', '200', '422']"
建议修改,wxmp,card,首页会员购买价格,GET,"应该返回 200, 但返回 201,请判断是否为文档及代码错误","['403', '201', '422']"
已知缺陷,wxmp,login,登出,POST,"文档不该含有 404,应移除","['204', '403']"
已知缺陷,wxmp,login,通过tokenid获取openid,GET,"文档不该含有 404,应移除","['200', '422']"
已知缺陷,wxmp,wash_record,售后与退款,GET,"文档不该含有 404,应移除","['403', '200', '422']"
已知缺陷,wxmp,wash_record,用订单id获取一洗车记录,GET,"文档不该含有 404,应移除","['403', '200', '422']"
已知缺陷,wxmp,wash_area,获取洗车区域列表,GET,"文档不该含有 422,应移除","['403', '200']"
已知缺陷,wxmp,coupon,领取优惠券,POST,缺少 404,"['403', '204', '404']"
已知缺陷,wxmp,turntable,获取我的抽奖资格,GET,"文档不该含有 404,应移除","['403', '200', '422']"
已知缺陷,wxmp,turntable,抽奖,POST,"文档不该含有 404,应移除","['403', '201', '422']"
已知缺陷,wxmp,user_contact,设置默认联系方式,PUT,"文档不该含有 422,应移除","['204', '403', '404']"
已知缺陷,wxmp,parking,模糊查询停车场信息,GET,缺少 422,"['200', '422']"
